age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
29,6,0,4,0,0,0,0,2,4,481,2,999,0,1,-1.8,92.893,-46.2,1.327,5099.1,1
30,6,0,0,0,1,0,0,3,2,252,1,999,0,1,-2.9,92.201,-31.4,0.849,5076.2,1
25,5,2,6,0,1,0,0,4,3,114,1,999,0,1,-1.8,93.075,-47.1,1.445,5099.1,1
41,5,0,4,0,0,0,0,4,2,1203,2,999,1,0,-1.8,93.075,-47.1,1.479,5099.1,1
27,5,2,3,0,0,0,0,6,1,238,4,999,0,1,-1.8,93.369,-34.8,0.635,5008.7,1
26,5,2,3,0,0,0,0,9,2,196,1,9,3,0,-1.7,94.215,-40.3,0.885,4991.6,1
32,6,1,2,0,1,0,1,5,4,1025,2,999,0,1,-0.1,93.2,-42,4.076,5195.8,1
23,7,2,4,0,0,0,0,8,2,276,1,14,1,2,-1.7,94.055,-39.8,0.748,4991.6,1
32,8,2,3,0,1,1,0,2,2,693,5,999,1,0,-1.8,92.893,-46.2,1.25,5099.1,1
46,8,0,3,2,0,1,1,8,4,993,6,999,0,1,1.4,94.465,-41.8,4.958,5228.1,1
82,0,1,1,0,0,0,0,4,0,529,1,6,2,2,-1.8,93.749,-34.6,0.643,5008.7,1
77,0,0,1,0,2,2,0,9,1,218,2,3,1,2,-1.7,94.215,-40.3,0.893,4991.6,1
42,5,0,6,0,1,0,1,5,4,90,1,999,0,1,-0.1,93.2,-42,4.245,5195.8,1
43,5,0,3,0,1,0,0,3,1,531,3,999,0,1,1.4,93.444,-36.1,4.968,5228.1,1
33,8,0,6,0,0,0,0,3,2,922,7,999,0,1,1.4,93.444,-36.1,4.966,5228.1,1
57,5,0,7,0,1,0,0,1,3,391,2,999,0,1,-3,92.713,-33,0.706,5023.5,1
49,8,1,6,0,1,0,0,9,0,253,3,15,1,2,-1.7,94.215,-40.3,0.87,4991.6,1
37,2,0,3,0,0,0,0,7,4,453,1,6,2,2,-1.1,94.601,-49.5,1.025,4963.6,1
39,2,0,2,0,1,0,1,2,0,935,3,999,0,1,1.1,93.994,-36.4,4.857,5191,1
39,8,1,6,0,1,0,0,3,1,1134,1,999,0,1,1.4,93.444,-36.1,4.968,5228.1,1
26,5,2,0,0,1,0,0,5,0,262,1,3,1,2,-3.4,92.649,-30.1,0.715,5017.5,1
23,6,2,2,0,1,0,0,2,0,672,1,999,0,1,-1.8,92.893,-46.2,1.299,5099.1,1
31,7,2,3,0,0,0,0,9,2,608,3,6,2,2,-1.7,94.215,-40.3,0.885,4991.6,1
42,3,0,3,0,0,0,0,3,2,1206,4,999,0,1,1.4,93.444,-36.1,4.966,5228.1,1
52,5,0,3,0,1,0,0,2,1,556,2,999,0,1,-1.8,93.876,-40,0.668,5008.7,1
68,0,0,0,0,0,0,0,5,0,1248,2,999,1,0,-3.4,92.649,-30.1,0.714,5017.5,1
48,8,0,7,0,1,0,0,9,0,1096,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
50,2,0,4,0,0,0,0,9,4,349,3,6,2,2,-1.7,94.215,-40.3,0.899,4991.6,1
45,8,0,3,0,1,1,1,2,1,845,1,999,0,1,1.1,93.994,-36.4,4.856,5191,1
50,6,0,1,0,0,0,0,2,0,474,1,9,1,2,-1.8,92.893,-46.2,1.299,5099.1,1
35,5,0,0,0,1,0,0,9,1,992,2,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
32,6,0,2,0,1,1,0,4,2,482,2,999,0,1,-1.8,93.075,-47.1,1.479,5099.1,1
61,5,0,3,0,1,1,1,9,3,261,4,999,0,1,-2.9,92.469,-33.6,1.085,5076.2,1
37,9,2,0,0,1,0,0,2,3,445,1,999,1,0,-1.8,92.893,-46.2,1.334,5099.1,1
31,6,0,4,0,1,0,0,2,3,1279,3,999,0,1,-1.8,92.893,-46.2,1.281,5099.1,1
31,8,2,3,0,1,0,1,9,4,426,1,6,2,2,-1.7,94.215,-40.3,0.899,4991.6,1
40,9,0,0,0,0,0,0,4,4,161,1,999,0,1,-1.8,93.075,-47.1,1.41,5099.1,1
30,7,2,0,0,0,0,1,2,2,300,3,999,0,1,-1.8,93.876,-40,0.682,5008.7,1
29,5,2,0,0,0,0,0,9,2,446,1,999,0,1,-2.9,92.469,-33.6,1.059,5076.2,1
30,4,2,2,0,0,0,0,4,3,142,4,999,0,1,-1.8,93.075,-47.1,1.445,5099.1,1
31,8,2,6,0,0,0,0,2,3,546,3,999,0,1,-1.8,92.893,-46.2,1.281,5099.1,1
33,8,2,6,0,1,0,0,2,3,519,2,999,2,0,-1.8,92.893,-46.2,1.334,5099.1,1
27,3,2,3,0,0,0,0,6,2,281,1,999,0,1,-1.8,93.369,-34.8,0.636,5008.7,1
38,8,0,6,0,1,0,0,3,2,848,1,999,0,1,1.4,93.444,-36.1,4.966,5228.1,1
41,10,0,3,0,1,0,0,5,1,854,1,999,0,1,-0.1,93.2,-42,4.153,5195.8,1
36,4,2,0,0,1,0,0,0,4,225,1,3,1,2,-1.1,94.199,-37.5,0.879,4963.6,1
59,4,0,1,0,1,0,0,8,0,614,1,6,2,2,-1.7,94.055,-39.8,0.72,4991.6,1
40,1,0,3,0,1,0,0,9,2,955,1,9,1,2,-1.7,94.215,-40.3,0.896,4991.6,1
38,6,0,4,2,0,0,1,8,4,922,2,999,0,1,1.4,94.465,-41.8,4.961,5228.1,1
37,8,0,6,0,0,0,0,3,3,157,3,4,2,2,-2.9,92.201,-31.4,0.884,5076.2,1
32,5,2,3,0,0,0,1,2,2,588,3,999,0,1,1.1,93.994,-36.4,4.857,5191,1
32,6,2,0,0,0,0,1,8,1,956,3,999,0,1,1.4,94.465,-41.8,4.864,5228.1,1
58,0,0,1,0,0,0,0,9,3,1014,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
33,5,2,3,0,0,0,0,6,1,406,2,999,1,0,-1.8,92.843,-50,1.614,5099.1,1
32,6,0,2,0,0,0,0,5,0,1091,2,5,1,2,-0.1,93.2,-42,4.191,5195.8,1
52,5,0,6,0,1,1,0,9,1,287,2,6,1,2,-1.7,94.215,-40.3,0.893,4991.6,1
24,8,2,0,0,1,0,0,2,0,841,4,999,0,1,-1.8,92.893,-46.2,1.354,5099.1,1
29,8,2,2,0,1,0,1,9,3,247,1,6,1,2,-1.7,94.215,-40.3,0.84,4991.6,1
45,3,0,4,2,0,0,1,2,4,734,1,999,0,1,1.1,93.994,-36.4,4.86,5191,1
57,6,0,7,2,0,0,1,8,3,651,2,999,0,1,1.4,94.465,-41.8,4.959,5228.1,1
39,6,0,2,0,1,0,0,2,4,607,3,999,0,1,-1.8,92.893,-46.2,1.266,5099.1,1
32,5,2,3,0,1,0,0,4,4,358,2,999,0,1,-1.8,93.749,-34.6,0.635,5008.7,1
40,9,0,0,0,1,0,1,7,1,144,1,999,1,0,-0.1,93.798,-40.4,4.968,5195.8,1
29,7,2,0,0,0,1,1,2,0,630,1,999,0,1,1.1,93.994,-36.4,4.857,5191,1
26,5,2,0,0,0,0,0,9,2,1310,2,999,0,1,1.4,93.918,-42.7,4.963,5228.1,1
56,0,0,1,0,0,0,0,1,4,429,1,999,0,1,-3,92.713,-33,0.714,5023.5,1
24,8,0,6,0,0,0,0,9,2,192,4,26,1,2,-1.7,94.215,-40.3,0.885,4991.6,1
34,5,0,3,0,0,0,0,7,2,281,1,999,2,0,-3.4,92.431,-26.9,0.73,5017.5,1
42,5,0,3,0,0,0,0,8,4,160,1,999,0,1,-2.9,92.963,-40.8,1.26,5076.2,1
51,6,0,1,0,1,0,0,2,3,440,2,999,0,1,-1.8,92.893,-46.2,1.281,5099.1,1
32,6,2,2,0,1,0,0,5,4,276,1,999,1,0,-0.1,93.2,-42,4.076,5195.8,1
34,5,0,3,0,0,0,1,0,2,290,2,999,0,1,-3.4,92.379,-29.8,0.773,5017.5,1
25,5,2,3,0,0,0,0,3,0,286,1,999,0,1,-2.9,92.201,-31.4,0.861,5076.2,1
53,8,0,6,0,0,0,0,2,0,421,1,999,0,1,-1.8,92.893,-46.2,1.264,5099.1,1
30,9,0,6,0,1,0,0,5,3,622,2,999,0,1,-0.1,93.2,-42,4.12,5195.8,1
36,5,0,3,0,1,0,0,2,1,196,1,999,0,1,-1.8,93.876,-40,0.697,5008.7,1
37,7,1,3,0,1,1,0,2,4,417,2,999,0,1,-1.8,93.876,-40,0.699,5008.7,1
34,4,2,3,0,1,0,0,8,1,167,2,999,0,1,-1.7,94.055,-39.8,0.761,4991.6,1
29,6,2,0,0,1,0,1,8,4,1318,3,999,0,1,1.4,94.465,-41.8,4.961,5228.1,1
27,5,2,3,0,1,0,0,2,2,431,1,999,0,1,-1.8,92.893,-46.2,1.259,5099.1,1
30,9,2,0,0,0,0,0,5,2,648,1,999,0,1,-0.1,93.2,-42,4.021,5195.8,1
50,5,0,0,0,1,0,0,0,2,434,2,999,0,1,-3.4,92.379,-29.8,0.803,5017.5,1
66,5,1,3,0,1,0,0,3,3,222,3,6,2,2,-1.7,94.027,-38.3,0.903,4991.6,1
22,7,2,2,0,0,0,0,7,2,221,2,6,1,2,-3.4,92.431,-26.9,0.73,5017.5,1
55,0,0,1,0,1,0,0,4,0,158,1,999,0,1,-1.8,93.075,-47.1,1.466,5099.1,1
26,5,2,3,0,1,0,1,0,4,471,1,7,1,2,-3.4,92.379,-29.8,0.809,5017.5,1
77,0,0,3,0,1,0,0,2,3,152,1,6,4,2,-1.8,93.876,-40,0.682,5008.7,1
31,5,0,0,0,1,0,0,9,4,627,1,999,0,1,1.4,93.918,-42.7,4.963,5228.1,1
56,6,0,1,2,1,1,1,2,2,1252,1,999,0,1,1.1,93.994,-36.4,4.859,5191,1
32,3,2,6,2,0,0,0,2,4,561,3,999,0,1,-1.8,92.893,-46.2,1.266,5099.1,1
28,6,1,0,0,0,0,0,2,4,307,1,999,2,0,-1.8,92.893,-46.2,1.266,5099.1,1
28,10,0,2,2,1,0,1,2,4,733,1,999,0,1,1.1,93.994,-36.4,4.86,5191,1
33,6,0,2,0,1,0,0,2,2,720,1,999,0,1,-1.8,92.893,-46.2,1.313,5099.1,1
41,5,0,3,0,0,0,1,5,1,234,2,3,1,2,-3.4,92.649,-30.1,0.715,5017.5,1
47,5,2,0,0,0,0,0,4,4,1025,1,999,0,1,-1.8,93.075,-47.1,1.41,5099.1,1
24,7,2,6,0,1,0,0,9,3,817,2,999,0,1,-1.7,94.215,-40.3,0.896,4991.6,1
45,5,2,3,0,1,0,0,8,4,207,1,999,0,1,-2.9,92.963,-40.8,1.26,5076.2,1
25,8,2,6,0,1,0,0,5,2,712,2,19,1,2,-1.1,94.767,-50.8,1.04,4963.6,1
36,5,0,0,0,0,0,0,2,0,119,1,999,0,1,-1.8,92.893,-46.2,1.264,5099.1,1
37,5,0,3,0,0,0,0,5,0,282,2,6,1,2,-1.1,94.767,-50.8,1.05,4963.6,1
38,5,0,0,0,1,1,1,8,4,2028,1,999,0,1,1.4,94.465,-41.8,4.961,5228.1,1
21,7,2,0,0,0,0,0,6,1,220,1,999,0,1,-1.8,92.843,-50,1.614,5099.1,1
36,5,2,3,0,0,1,0,2,3,1119,2,999,0,1,-1.8,92.893,-46.2,1.281,5099.1,1
34,8,0,2,0,1,0,0,4,0,904,2,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,1
33,5,0,3,0,1,0,0,2,2,663,3,999,0,1,-1.8,93.876,-40,0.699,5008.7,1
55,5,0,1,2,0,0,1,8,2,1469,9,999,0,1,1.4,94.465,-41.8,4.967,5228.1,1
23,5,2,3,0,0,0,0,0,4,270,3,999,1,0,-1.1,94.199,-37.5,0.879,4963.6,1
77,0,1,1,0,1,0,0,5,0,445,2,999,1,0,-3.4,92.649,-30.1,0.714,5017.5,1
33,8,0,6,0,0,0,0,4,4,285,1,999,0,1,-1.8,93.075,-47.1,1.41,5099.1,1
26,5,0,0,0,0,0,0,9,4,991,5,999,0,1,1.4,93.918,-42.7,4.958,5228.1,1
36,1,0,3,0,0,0,1,3,0,328,1,999,0,1,-2.9,92.201,-31.4,0.884,5076.2,1
32,1,2,3,0,1,0,0,4,2,709,1,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,1
30,6,2,0,0,2,2,0,5,0,235,5,999,0,1,-3.4,92.649,-30.1,0.714,5017.5,1
29,5,2,0,0,1,0,0,0,4,216,1,6,2,2,-1.1,94.199,-37.5,0.879,4963.6,1
36,8,0,3,0,0,0,1,8,0,1093,1,999,0,1,1.4,94.465,-41.8,4.96,5228.1,1
33,8,0,6,0,0,0,0,0,3,569,1,999,0,1,-1.1,94.199,-37.5,0.879,4963.6,1
39,5,2,3,0,1,0,1,6,0,229,1,999,1,0,-1.8,93.369,-34.8,0.655,5008.7,1
25,8,0,6,0,1,0,0,8,1,551,4,999,1,0,-2.9,92.963,-40.8,1.252,5076.2,1
58,1,0,3,0,0,0,0,2,4,289,1,3,4,2,-1.8,93.876,-40,0.683,5008.7,1
28,5,2,3,0,1,0,0,4,1,295,5,999,0,1,-1.8,93.075,-47.1,1.423,5099.1,1
27,5,2,6,0,0,0,0,9,1,448,5,999,0,1,1.4,93.918,-42.7,4.961,5228.1,1
66,0,0,1,0,0,1,0,8,3,319,2,999,0,1,-1.7,94.055,-39.8,0.767,4991.6,1
50,5,0,3,0,1,1,1,4,4,413,3,999,0,1,-1.8,93.075,-47.1,1.406,5099.1,1
60,5,0,3,0,1,0,0,2,0,226,2,11,1,2,-1.8,92.893,-46.2,1.354,5099.1,1
39,8,0,6,0,1,0,0,2,0,1046,3,11,1,2,-1.8,92.893,-46.2,1.354,5099.1,1
50,10,0,2,0,1,0,1,2,0,331,5,999,0,1,-1.8,92.893,-46.2,1.354,5099.1,1
51,6,0,1,0,1,1,0,2,4,668,2,999,0,1,-1.8,92.893,-46.2,1.266,5099.1,1
70,0,0,6,0,1,0,0,3,2,94,4,999,0,1,-2.9,92.201,-31.4,0.869,5076.2,1
46,5,0,0,0,1,0,0,9,1,267,1,999,0,1,-1.7,94.215,-40.3,0.797,4991.6,1
31,5,2,0,0,1,0,0,5,3,456,2,999,0,1,-1.1,94.767,-50.8,1.044,4963.6,1
56,9,1,0,0,0,0,1,2,0,640,7,999,0,1,-1.8,92.893,-46.2,1.354,5099.1,1
79,0,0,1,0,0,1,0,9,2,464,1,999,1,0,-1.7,94.215,-40.3,0.822,4991.6,1
31,7,2,7,0,1,0,0,3,4,375,2,999,0,1,-1.7,94.027,-38.3,0.904,4991.6,1
32,5,2,3,0,0,0,0,8,2,462,1,999,0,1,-2.9,92.963,-40.8,1.268,5076.2,1
39,8,1,6,2,1,0,0,3,0,714,5,999,0,1,1.4,93.444,-36.1,4.965,5228.1,1
50,9,1,4,0,0,1,0,9,3,684,1,999,0,1,1.4,93.918,-42.7,4.963,5228.1,1
32,5,0,3,0,1,0,0,8,1,712,1,3,2,0,-2.9,92.963,-40.8,1.262,5076.2,1
40,9,0,0,0,0,1,1,2,2,762,3,999,0,1,1.1,93.994,-36.4,4.864,5191,1
45,1,0,7,0,1,0,0,4,1,379,3,7,1,2,-1.8,93.749,-34.6,0.642,5008.7,1
54,1,1,3,0,1,0,0,7,4,234,2,6,1,2,-3.4,92.431,-26.9,0.741,5017.5,1
56,2,0,1,0,1,0,0,4,0,325,1,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,1
29,5,0,2,0,1,0,0,9,0,577,2,999,0,1,1.4,93.918,-42.7,4.96,5228.1,1
51,5,0,3,0,0,0,0,8,0,297,4,999,0,1,-1.7,94.055,-39.8,0.754,4991.6,1
41,5,1,0,0,1,0,0,3,2,174,1,4,3,0,-1.7,94.027,-38.3,0.905,4991.6,1
50,1,0,2,0,0,0,0,6,3,115,1,999,0,1,-1.8,92.843,-50,1.548,5099.1,1
54,5,0,3,0,1,0,0,5,2,455,2,999,0,1,-3.4,92.649,-30.1,0.716,5017.5,1
31,9,0,2,0,0,0,1,2,1,945,2,999,0,1,1.1,93.994,-36.4,4.856,5191,1
48,10,1,0,0,0,0,0,3,3,307,1,999,0,1,-2.9,92.201,-31.4,0.879,5076.2,1
52,3,0,3,0,1,0,0,8,0,322,1,3,1,2,-2.9,92.963,-40.8,1.26,5076.2,1
71,0,0,1,0,0,0,0,4,0,328,2,4,1,2,-1.8,93.749,-34.6,0.645,5008.7,1
26,9,2,0,0,0,0,0,9,2,588,7,999,0,1,1.4,93.918,-42.7,4.957,5228.1,1
44,6,0,2,2,1,0,0,4,2,574,1,999,1,0,-1.8,93.075,-47.1,1.405,5099.1,1
28,3,2,3,0,1,0,0,9,4,198,2,999,0,1,-1.7,94.215,-40.3,0.846,4991.6,1
32,5,0,3,0,1,0,0,3,3,1842,1,999,0,1,1.4,93.444,-36.1,4.965,5228.1,1
36,5,1,3,0,1,0,0,3,0,146,2,999,2,0,-2.9,92.201,-31.4,0.884,5076.2,1
60,5,0,3,0,1,0,1,9,4,363,1,999,0,1,-2.9,92.469,-33.6,1.072,5076.2,1
58,5,0,3,0,1,1,0,2,0,353,2,999,0,1,-1.8,92.893,-46.2,1.354,5099.1,1
44,9,1,2,0,0,0,0,9,1,805,3,999,0,1,1.4,93.918,-42.7,4.961,5228.1,1
28,5,0,3,0,0,0,0,4,4,258,1,2,2,2,-1.8,93.075,-47.1,1.365,5099.1,1
54,9,1,0,0,1,1,0,7,3,178,4,3,1,2,-1.1,94.601,-49.5,1.016,4963.6,1
36,9,2,3,0,0,0,0,3,2,394,6,999,0,1,-1.7,94.027,-38.3,0.898,4991.6,1
31,8,0,6,0,0,0,0,9,4,3643,1,999,0,1,1.4,93.918,-42.7,4.963,5228.1,1
29,5,2,3,0,0,1,0,9,4,582,2,999,0,1,1.4,93.918,-42.7,4.958,5228.1,1
62,0,0,3,0,1,0,0,5,4,329,1,999,2,0,-1.1,94.767,-50.8,1.031,4963.6,1
22,3,2,6,0,1,0,0,7,3,218,1,999,0,1,-1.1,94.601,-49.5,0.959,4963.6,1
53,5,0,3,2,0,0,0,9,3,815,1,999,0,1,1.4,93.918,-42.7,4.962,5228.1,1
25,7,2,3,0,0,0,0,3,4,184,1,999,0,1,-2.9,92.201,-31.4,0.851,5076.2,1
49,8,0,6,0,0,0,1,2,2,736,2,999,0,1,1.1,93.994,-36.4,4.857,5191,1
41,8,0,7,0,1,1,0,2,0,963,1,3,2,2,-1.8,92.893,-46.2,1.354,5099.1,1
39,9,0,3,0,0,0,0,4,4,237,1,999,0,1,-1.8,93.075,-47.1,1.365,5099.1,1
54,5,1,3,0,0,0,0,1,3,288,7,6,2,2,-3,92.713,-33,0.715,5023.5,1
48,5,0,4,0,1,0,1,6,0,382,2,999,0,1,-1.8,92.843,-50,1.811,5099.1,1
30,5,0,3,0,1,0,0,4,4,316,1,999,1,0,-1.8,93.075,-47.1,1.365,5099.1,1
24,11,2,3,0,0,0,0,8,1,119,1,3,2,2,-2.9,92.963,-40.8,1.262,5076.2,1
57,5,0,0,0,1,0,0,4,1,111,1,999,0,1,-1.8,93.075,-47.1,1.423,5099.1,1
36,6,0,7,0,0,0,0,4,4,1174,1,999,0,1,-1.8,93.075,-47.1,1.41,5099.1,1
24,7,2,6,0,1,0,0,4,4,413,1,999,0,1,-1.8,93.075,-47.1,1.365,5099.1,1
26,7,2,2,0,1,0,0,3,3,582,1,999,0,1,-2.9,92.201,-31.4,0.879,5076.2,1
71,2,0,1,0,1,0,0,5,1,193,2,999,0,1,-3.4,92.649,-30.1,0.715,5017.5,1
31,6,0,4,0,0,1,1,2,3,795,1,999,0,1,1.1,93.994,-36.4,4.858,5191,1
50,5,0,3,0,1,0,0,1,1,410,3,999,0,1,-3,92.713,-33,0.708,5023.5,1
27,8,2,3,0,1,0,0,7,3,184,1,999,1,0,-1.1,94.601,-49.5,1.043,4963.6,1
25,5,2,3,0,0,0,0,3,4,215,1,999,0,1,-1.7,94.027,-38.3,0.904,4991.6,1
29,1,0,3,0,1,0,0,2,3,281,4,999,1,0,-1.8,92.893,-46.2,1.27,5099.1,1
50,10,1,3,0,1,0,0,9,4,386,1,6,3,2,-1.7,94.215,-40.3,0.899,4991.6,1
41,5,1,0,0,1,0,0,3,2,258,2,6,3,2,-1.7,94.027,-38.3,0.905,4991.6,1
25,5,2,0,0,1,0,0,4,3,416,1,999,0,1,-1.8,93.075,-47.1,1.405,5099.1,1
60,0,0,0,0,0,0,0,1,4,472,1,999,0,1,-3,92.713,-33,0.72,5023.5,1
35,5,2,3,0,1,0,0,4,4,388,2,999,0,1,-1.8,93.749,-34.6,0.659,5008.7,1
37,8,0,6,0,1,0,1,8,4,683,2,999,0,1,1.4,94.465,-41.8,4.961,5228.1,1
45,1,0,6,0,0,0,0,5,4,993,1,999,0,1,-0.1,93.2,-42,4.076,5195.8,1
